1,able,a,способный,I’ll see you as soon as I’m able.,626,4.719
2,able,a,умелый,I’ll see you as soon as I’m able.,626,4.719
3,about,adv,"кругом, вокруг","After my bout with Guillan-Barre Syndrome, it took me 6 months to be up and about again.",64,69.828
4,about,adv,около,"After my bout with Guillan-Barre Syndrome, it took me 6 months to be up and about again.",64,69.828
5,about,prep,"о, об, относительно","After my bout with Guillan-Barre Syndrome, it took me 6 months to be up and about again.",64,69.828
6,above,prep,над,"He's in a better place now, floating free as the clouds above.",388,8.193
7,above,prep,свыше,"He's in a better place now, floating free as the clouds above.",388,8.193
8,above,adv,"наверху, выше","He's in a better place now, floating free as the clouds above.",388,8.193
9,abruptly,adv,внезапно,,1716,1.322
10,abruptly,adv,"резко, грубо",,1716,1.322
11,absolutely,adv,абсолютно,"Do you want a free cookie with that coffee?
12,Absolutely!",1394,1.76
13,absolutely,adv,совершенно,"Do you want a free cookie with that coffee?
14,Absolutely!",1394,1.76
15,accent,n,ударение,,2190,0.951
16,accent,n,произношение,,2190,0.951
17,accent,n,акцент,,2190,0.951
18,accent,n,"v- подчеркивать, акцентировать",,2190,0.951
19,accept,v,принимать,The Boy Scouts were going to accept him as a member.,1120,2.341
20,accept,v,соглашаться,The Boy Scouts were going to accept him as a member.,1120,2.341
21,access,n,доступ,an access of territory,2200,0.945
22,access,n,"подход, проход",an access of territory,2200,0.945
23,accident,n,случай,to die by an accident,1389,1.774
24,accident,n,несчастный случай,My insurance went up after the second accident in three months.,1389,1.774
25,accident,n,авария,Beauty is an accident.,1389,1.774
26,accompany,v,"сопровождать, провожать",Geoffrey accompanied the group on their pilgrimage.,2364,0.845
27,accompany,v,аккомпанировать,Geoffrey accompanied the group on their pilgrimage.,2364,0.845
28,account,n,счет,to keep one's account at the bank.,1341,1.851
29,account,n,отчет,No satisfactory account has been given of these phenomena.,1341,1.851
30,account,n,причина,Don't trouble yourself on my account.,1341,1.851
31,account,v,давать отчет ~ for,An account of a battle.,1341,1.851
32,account,n,"считать, признавать",I've opened an account with Wikipedia so that I can contribute and partake in the project.,1341,1.851
33,ace,n,очко,,1185,2.156
34,ace,n,карт. туз,,1185,2.156
35,ace,n,ас,,1185,2.156
36,ace,n,главный козырь,,1185,2.156
37,ace,n,лучший,,1185,2.156
38,ace,n,высшая оценка,,1185,2.156
39,across,prep,"через, сквозь","I solved all of the acrosses, but then got stuck on 3 down.",182,18.255
40,across,adv,поперек,"I solved all of the acrosses, but then got stuck on 3 down.",182,18.255
41,act,n,дело,an act of goodwill,720,4.057
42,act,n,акт,an act of goodwill,720,4.057
43,act,v,действовать,an act of goodwill,720,4.057
44,act,n,играть роль,an act of goodwill,720,4.057
45,activity,n,деятельность,Pit row was abuzz with activity.,1905,1.157
46,activity,n,занятия,The activity for the morning was a walk to the store.,1905,1.157
47,activity,n,активность,An increasing number of sports activities are on offer at the university.,1905,1.157
48,add,v,прибавлять,"When the player has fought the boss for one minute, two adds will arrive from the back and must be dealt with.",758,3.834
49,add,v,складывать,"When the player has fought the boss for one minute, two adds will arrive from the back and must be dealt with.",758,3.834
50,address,n,адрес,"He addressed some portions of his remarks to his supporters, some to his opponents.",1051,2.504
51,address,v,адресовать,He addressed a letter.,1051,2.504
52,address,n,направлять,The ship was addressed to a merchant in Baltimore.,1051,2.504
53,adjust,v,приводить в порядок,,1783,1.254
54,adjust,v,улаживать,,1783,1.254
55,adjust,v,приспосабливать,,1783,1.254
56,admire,v,восхищаться,He had always admired the work ethos and family values of his friend.,2381,0.838
57,admire,v,любоваться,He had always admired the work ethos and family values of his friend.,2381,0.838
58,admit,v,впускать,A ticket admits one into a playhouse.,1072,2.454
59,admit,v,принимать,A ticket admits one into a playhouse.,1072,2.454
60,admit,v,признавать,A ticket admits one into a playhouse.,1072,2.454
61,advance,n,продвижение,an advance in health or knowledge,1404,1.747
62,advance,n,успех,an advance in health or knowledge,1404,1.747
63,advance,n,прогресс,an advance in health or knowledge,1404,1.747
64,advance,v,продвигаться,an advance in health or knowledge,1404,1.747
65,advance,n,делать успехи,an advance in health or knowledge,1404,1.747
66,advance,n,также продвинутый,an advance in health or knowledge,1404,1.747
67,advance,n,передовой,an advance in health or knowledge,1404,1.747
68,advantage,n,преимущество,The enemy had the advantage of a more elevated position.,2338,0.855
69,advantage,n,"выгода, польза",Having the faster car is of little advantage.,2338,0.855
70,afford,v,иметь возможность,I think we can afford the extra hour it will take.  We can only afford to buy a small car at the moment.,2141,0.983
71,afford,v,"предоставлять, давать",I think we can afford the extra hour it will take.  We can only afford to buy a small car at the moment.,2141,0.983
72,afraid,a,испуганный,He is afraid of death.,600,4.963
73,afraid,a,бояться,I am afraid I cannot help you in this matter.,600,4.963
74,after,prep,"после, через",The after gun is abaft the forward gun.,142,26.072
75,after,adv,потом,The after gun is abaft the forward gun.,142,26.072
76,again,adv,"опять, снова","Great, thanks again!",114,32.364
77,again,adv,еще раз,"Great, thanks again!",114,32.364
78,age,n,возраст,the age of infancy,774,3.78
79,age,n,век,the age of infancy,774,3.78
80,age,v,стареть,the age of infancy,774,3.78
81,agency,n,"агентство, представительство",individual agency,2264,0.898
82,agency,n,содействие,individual agency,2264,0.898
83,agent,n,агент,,697,4.24
84,agent,n,представитель,,697,4.24
85,agreement,n,согласие,to enter an agreement;  the UK and US negotiators nearing agreement;  he nodded his agreement.,2448,0.802
86,agreement,n,"соглашение, договор",The results of my experiment are in agreement with those of Michelson and with the law of General Relativity.,2448,0.802
87,ahead,adv,вперед,Just ahead you can see the cliffs.,500,6.2
88,ahead,adv,впереди,Just ahead you can see the cliffs.,500,6.2
89,aid,n,помощь,He came to my aid when I was foundering.,2378,0.839
90,aid,v,помогать,He came to my aid when I was foundering.,2378,0.839
91,aim,n,"цель, намерение",Take time with the aim of your gun.,1191,2.148
92,aim,v,целиться,Take time with the aim of your gun.,1191,2.148
93,aim,n,стремиться,Take time with the aim of your gun.,1191,2.148
94,air,n,воздух,I'm going outside to get some air.,271,12.432
95,air,a,воздушный,I'm going outside to get some air.,271,12.432
96,aircraft,n,"самолет, самолеты",,1595,1.483
97,aircraft,n,авиация,,1595,1.483
98,alarm,n,тревога,The clock radio is a friendlier version of the cold alarm by the bedside.,1141,2.274
99,alarm,v,поднять тревогу,You should set the alarm on your watch to go off at seven o'clock.,1141,2.274
100,alert,n,тревога,,2144,0.981
101,alert,a,бдительный,,2144,0.981
102,alert,v,объявлять тревогу,,2144,0.981
103,alien,n,"чужестранец, иностранец",,1252,2.019
104,alien,a,чужестранный,,1252,2.019
105,alien,n,чуждый,,1252,2.019
106,alley,n,"узкая улица, переулок",,1490,1.616
107,alley,n,аллея,,1490,1.616
108,almost,adv,почти,"In all the submissions, they found four papers that were clearly worth publishing and another dozen almosts.",247,13.573
109,almost,adv,чуть не,Almost all people went there. - Not all but very close to it.,247,13.573
110,alone,a,"один, одинокий",I can't ask for help because I am alone.,438,7.31
111,alone,a,сам,I can't ask for help because I am alone.,438,7.31
112,alone,adv,"только, исключительно",I can't ask for help because I am alone.,438,7.31
113,along,prep,"вдоль, по",John played the piano and everyone sang along.,268,12.495
114,along,adv,вперед,Don't stop here. Just move along.,268,12.495
115,amaze,v,"изумлять, поражать",,1377,1.79
116,amaze,v,"изумительный, поразительный и amazed пораженный",,1377,1.79
117,ambulance,n,машина скор. помощи,,2300,0.874
118,ambulance,n,врачебный пункт,,2300,0.874
119,amount,n,количество,The amount of atmospheric pollution threatens a health crisis.,1967,1.112
120,amount,n,сумма,The amount of atmospheric pollution threatens a health crisis.,1967,1.112
121,amuse,v,"забавлять, развлекать",,2125,0.994
122,amuse,v,"также забавный, смешной, занимательный",,2125,0.994
123,ancient,a,древний,an ancient city  an ancient forest,1424,1.716
124,ancient,a,античный,an ancient author  an ancient empire,1424,1.716
125,and,cj,и,,2,724.851
126,and,cj,с,,2,724.851
127,and,cj,"а, но",,2,724.851
128,annoy,v,надоедать,"Marc loved his sister, but when she annoyed him he wanted to switch her off.",2282,0.887
129,annoy,v,раздражать,"Marc loved his sister, but when she annoyed him he wanted to switch her off.",2282,0.887
130,annoy,v,"в осн. annoyed a- недовольный, раздраженный","Marc loved his sister, but when she annoyed him he wanted to switch her off.",2282,0.887
131,another,pron,другой,There is one sterling and here is another,151,24.655
132,another,pron,еще один,There is one sterling and here is another,151,24.655
133,answer,n,ответ,Her answer to his proposal was a slap in the face.,288,11.872
134,answer,v,отвечать,Her answer to his proposal was a slap in the face.,288,11.872
135,anxious,a,озабоченный,I could tell she was anxious as she was biting her nails.,2210,0.938
136,anxious,a,"стремящийся (к), сильно желающий",I could tell she was anxious as she was biting her nails.,2210,0.938
137,any,pron,какой-нибудь,I will not remain here any longer.,133,27.186
138,any,pron,любой,Any may apply.,133,27.186
139,anybody,pron,кто-нибудь,Anybody will do.,895,3.112
140,anybody,pron,никто,Anybody will do.,895,3.112
141,anybody,pron,любой,Anybody will do.,895,3.112
142,anymore,adv,обычно в отриц. предл. в знач. больше не,They don't make repairable radios any more.,1122,2.34
143,anymore,adv,редко в утверд. в знач. когда-нибудь еще,They don't make repairable radios any more.,1122,2.34
144,anymore,adv,более того,They don't make repairable radios any more.,1122,2.34
145,anyone,pron,кто-нибудь,Almost anyone can change a light bulb.,506,6.12
146,anyone,pron,никто,Almost anyone can change a light bulb.,506,6.12
