abandon,v,"оставлять, покидать; в осн. как abandoned a- покинутый, заброшенный",1862,1.186,Many baby girls have been abandoned on the streets of Beijing.
ability,n,"способность, умение",2410,819.0,This phone has the ability to have its software upgraded wirelessly. || She has an uncanny ability to defuse conflict.
able,a,способный; умелый,626,4.719,"I’ll see you as soon as I’m able. || After the past week of forced marches, only half the men are fully able. || He was born to an able family. || The chairman was also an able sailor. || He is able to practice law in six states."
about,adv,"кругом, вокруг; около; prep- о, об, относительно",64,69.828,"After my bout with Guillan-Barre Syndrome, it took me 6 months to be up and about again. || This idea has been about for a while but has only recently become fashionable. || I had my keys just a minute ago, so they must be about somewhere. || I looked about at the scenery that surrounded me. || Bits of old machinery were lying about. || walking about;  rushing about;  jumping about;  thrashing about || messing about;   fooling about;  loafing about || Dinner's about ready. || to face about;  to turn oneself about || a mile about, and a third of a mile across || The snake was coiled about his ankle. || He was well known about town. || He talked a lot about his childhood. || to be about one's business || I can't find my reading glasses, but they must be somewhere about the house. || I had no weapon about me but a stick. || He has his wits about him."
above,prep,"над; свыше; adv- наверху, выше",388,8.193,"He's in a better place now, floating free as the clouds above. || He appealed to the court above. || It was a cold day at only 5 above. || The sparrow I saw was rufous above and off-white below. || He always put his coat on above his sweater. || Idaho is above Utah. || Even the chief of police is not above suspicion. || to stand head and shoulders above the rest || above and beyond the call of duty || That amount is way above our asking price. || The owner was above taking more than a token salary."
abruptly,adv,"внезапно; резко, грубо",1716,1.322,
absolutely,adv,абсолютно; совершенно,1394,1.76,"Do you want a free cookie with that coffee?
Absolutely!"
accent,n,"ударение; произношение; акцент; [xk'sent] v- подчеркивать, акцентировать",2190,951.0,
accept,v,принимать; соглашаться (с),1120,2.341,"The Boy Scouts were going to accept him as a member. || I accept the notion that Christ lived. || I accept your proposal, amendment, or excuse. || I accept my punishment. || to accept the report of a committee || I accept."
access,n,"доступ; подход, проход",2200,945.0,an access of territory
accident,n,случай; несчастный случай; авария,1389,1.774,to die by an accident || My insurance went up after the second accident in three months. || Beauty is an accident.
accompany,v,"сопровождать, провожать; аккомпанировать",2364,845.0,Geoffrey accompanied the group on their pilgrimage. || I will accompany her on the oboe. || Thunder almost always accompanies lightning during a rain storm.
according,prep,"~ to согласно, в соответствии с",2017,1.071,This according voice of national wisdom.
account,n,"счет; отчет; причина; v- давать отчет ~ for; считать, признавать",1341,1.851,to keep one's account at the bank. || No satisfactory account has been given of these phenomena. || Don't trouble yourself on my account. || An account of a battle. || I've opened an account with Wikipedia so that I can contribute and partake in the project.
ace,n,очко; карт. туз; ас; главный козырь; лучший; высшая оценка,1185,2.156,
across,prep,"через, сквозь; adv- поперек",182,18.255,"I solved all of the acrosses, but then got stuck on 3 down. || she helped the blind man across;  the river is half a mile across || If we sail off at noon, when will we be across? || He leaned across for a book. || I got stuck on 4 across. || Fortunately, there was a bridge across the river. || That store is across the street. || Could you slide that across the table to me, please? || This poetry speaks across the centuries. || All across the country, voters were communicating their representatives. || Lay the top stick across the bottom one."
act,n,дело; акт; v- действовать; играть роль,720,4.057,"an act of goodwill || He was caught in the act of stealing. || The pivotal moment in the play was in the first scene of the second act. || Which act did you prefer? The soloist or the band? || to put on an act || If you don't act soon, you will be in trouble. || I started acting at the age of eleven in my local theatre. || A dog which acts aggressively is likely to bite. || He acted unconcerned so the others wouldn't worry. || act on behalf of John || Gravitational force acts on heavy bodies. || He's been acting Shakespearean leads since he was twelve. || He acted the angry parent, but was secretly amused. || This group acts on the circle, so it can't be left-orderable!"
action,n,"поступок, действие",993,2.666,Knead bread with a rocking action. || a movie full of exciting action || a rifle action || She gave him some action. || He saw some action in the Korean War. || The director yelled ‘Action!’ before the camera started rolling.
activity,n,деятельность; занятия; активность,1905,1.157,Pit row was abuzz with activity. || The activity for the morning was a walk to the store. || An increasing number of sports activities are on offer at the university.
actor,n,"актер, артист",2424,811.0,
actually,adv,"фактически, на самом деле",592,5.017,"Actually, I had nothing to do with that incident."
add,v,прибавлять; складывать,758,3.834,"When the player has fought the boss for one minute, two adds will arrive from the back and must be dealt with. || to add numbers || to add a column of numbers || It adds to our anxiety. || He adds rapidly. || Typically, a hostile mob will add whenever it's within the aggro radius of a player."
address,n,адрес; v- адресовать; направлять,1051,2.504,"He addressed some portions of his remarks to his supporters, some to his opponents. || He addressed a letter. || The ship was addressed to a merchant in Baltimore."
adjust,v,приводить в порядок; улаживать; приспосабливать,1783,1.254,
admiral,n,адмирал,1739,1.296,
admire,v,восхищаться; любоваться,2381,838.0,He had always admired the work ethos and family values of his friend.
admit,v,впускать; принимать; признавать,1072,2.454,A ticket admits one into a playhouse. || the prisoner was admitted to bail || he admitted his guilt || the words do not admit such a construction. || circumstances do not admit of this
advance,n,продвижение; успех; прогресс; v- продвигаться; делать успехи; advansed также продвинутый; передовой,1404,1.747,an advance in health or knowledge || an advance on the prime cost of goods || He made an advance payment on the prior shipment to show good faith. || The advance man came a month before the candidate. || The scouts found a site for an advance base.
advantage,n,"преимущество; выгода, польза",2338,855.0,The enemy had the advantage of a more elevated position. || Having the faster car is of little advantage.
advice,n,"совет, советы",2304,871.0,She was offered various piece of advice on what to do with her new-found wealth. || late advices from France || An advice of an incoming settlement payment order may be given to an off-line receiving bank. || a letter of advice || An advice issued by a Monitoring Committee could be applicable in a Dutch court
affair,n,дело,2192,950.0,"a difficult affair to manage || an affair of honor, a duel;  an affair of love, an intrigue || He used a hook-shaped affair with a long handle to unlock the car."
afford,v,"иметь возможность; предоставлять, давать",2141,983.0,I think we can afford the extra hour it will take.  We can only afford to buy a small car at the moment. || A affords his goods cheaper than B. || Grapes afford wine.  Olives afford oil.  The earth affords fruit.  The sea affords an abundant supply of fish. || A good life affords consolation in old age.
afraid,a,испуганный; to be ~ бояться,600,4.963,He is afraid of death. || I am afraid I cannot help you in this matter.
after,prep,"после, через; adv- потом",142,26.072,"The after gun is abaft the forward gun. || I left the room, and the dog bounded after. || The Cold War began shortly after the Second World War. || He will leave a trail of destruction after him. || He's after a job; run after him; inquire after her health. || We named him after his grandfather; a painting after Leonardo da Vinci. || The princess is next in line to the throne after the prince. || After your bad behaviour, you will be punished. || After all that has happened, he is still my friend. || I was after finishing my dinner when there was a knock on the door. || to look after workmen; to enquire after a friend; to thirst after righteousness || I went home after we had decided to call it a day."
afternoon,n,время после полудня,721,4.056,
again,adv,"опять, снова; еще раз",114,32.364,"Great, thanks again! || Bring us word again. || The South will rise again."
against,prep,против,192,16.732,"It is hard work to swim against the current. || The rain pounds against the window. || The kennel was put against the back wall. || A row of trees stood against a fence. || The giant was silhouetted against the door. || He stands out against his classmates. || The Tigers will play against the Bears this weekend. || Doing this is against my principles. || Are you against freedom of choice? || That horse is fifty-to-one against, so it has virtually no chance of winning. || The vouchers are redeemable against West End shows and theatre breaks. || Tax is levied against income from sales. || He turned the umbrella against the wind. || The stores are kept well stocked against a time of need. || The studio weren't sure the movie would ever get made, so they only paid $50,000 against $200,000. That way they wouldn't be out very much if filming never began."
age,n,возраст; век; v- стареть,774,3.78,"the age of infancy || the age of consent; the age of discretion || the golden age; the age of Pericles || the Bronze Age was followed by the Iron Age; the Tithonian Age was the last in the Late Jurassic epoch || There are three ages living in her house. || It’s been an age since we last saw you. || What is the present age of a man, or of the earth? || to come of age; she is now of age || Wisdom doesn't necessarily come with age, sometimes age just shows up all by itself. || Grief ages us. || Money's a little tight right now, let's age our bills for a week or so. || One his first assignments was to age the accounts receivable. || He grew fat as he aged."
agency,n,"агентство, представительство; содействие",2264,898.0,individual agency || authority of agency || Agency for Toxic Substances and Disease Registry
agent,n,агент; представитель,697,4.24,
ago,adv,тому назад,493,6.346,in days ago/in days agone || Woe the day- she is agone!
agree,v,"соглашаться, договариваться",801,3.55,"all parties agree in the expediency of the law. || to agree to an offer, or to opinion. || the picture does not agree with the original; the two scales agree exactly. || the same food does not agree with every constitution. || In Romanian, the articles, adjectives, pronouns agree in gender, number and case with the noun they refer to."
agreement,n,"согласие; соглашение, договор",2448,802.0,to enter an agreement;  the UK and US negotiators nearing agreement;  he nodded his agreement. || The results of my experiment are in agreement with those of Michelson and with the law of General Relativity.
ahead,adv,вперед; впереди,500,6.2,Just ahead you can see the cliffs. || There may be tough times ahead. || He paid his rent ahead. || In all of his classes Jack was ahead.
aid,n,помощь; v- помогать,2378,839.0,He came to my aid when I was foundering. || Slimming aids include dietary supplements and appetite suppressants. || The incompetent general's brilliant aid often made priceless suggestions.
aim,n,"цель, намерение; v- целиться; стремиться",1191,2.148,"Take time with the aim of your gun. || My number one aim in life is to make money to make my parents, siblings and kids happy. || The police officer has excellent aim, always hitting the bullseye in shooting practice. || He aimed at the target, but the arrow flew straight over it. || to aim at a pass || She aimed a punch at her ex-boyfriend. || to aim a satirical comment at Communists in general"
air,n,воздух; a- воздушный,271,12.432,I'm going outside to get some air. || The flock of birds took to the air. || to give it an air of artistry and sophistication || putting on airs || Could you turn on the air? || This game show first aired in the 1990s and is still going today.
aircraft,n,"самолет, самолеты; авиация (мн. ч. без измен.)",1595,1.483,
airport,n,аэропорт,1352,1.829,"Because of this, and contrary to popular belief, British airports primarily act as giant wealth extractors, transporting our richest citizens out of the country as often as possible to take their money overseas. ― The Independent, Heathrow expansion to mainly benefit wealthy frequent fliers, research finds, 23 june 2018."
aisle,n,проход (между рядами в театре и т.п.),2112,1.004,
alarm,n,тревога; v- поднять тревогу,1141,2.274,The clock radio is a friendlier version of the cold alarm by the bedside. || You should set the alarm on your watch to go off at seven o'clock.
alert,n,тревога; a- бдительный; v- объявлять тревогу,2144,981.0,
alien,n,"чужестранец, иностранец; a- чужестранный; чуждый",1252,2.019,
alive,a,живой,764,3.805,"As long as the plant is alive, he will continue to water it. || to keep the affections alive || Although quite dull during the day, the main street comes alive at night, with many bars and clubs opening. || The post office will not ship live animals. || He is a live example of the consequences of excessive drinking. || live feathers || a live, or driving, axle || a live ball || The station presented a live news program every evening. || This nightclub has a live band on weekends. || a live album || The air force practices dropping live bombs on the uninhabited island. || Use caution when working near live wires. || Tommy's blind was live, so he was given the option to raise. || a live coal; live embers || a live man, or orator"
all,pron,"все, вся, всё",45,98.882,"She gave her all, and collapsed at the finish line. || The butter is all. || It suddenly went all quiet. || The score was 30 all when the rain delay started. || Don't want to go? All the better since I lost the tickets. || She knows all and sees all. || A good time was had by all. || All that was left was a small pile of ash."
alley,n,"узкая улица, переулок; аллея",1490,1.616,
allow,v,"позволять, разрешать",846,3.302,"to allow a servant his liberty;  to allow a free passage;  to allow one day for rest || to allow a right;  to allow a claim;  to allow the truth of a proposition || To allow a sum for leakage. || Smoking allowed only in designated areas. || Although I don't consent to their holding such meetings, I will allow them for the time being. || When calculating a budget for a construction project, always allow for contingencies."
almost,adv,почти; чуть не,247,13.573,"In all the submissions, they found four papers that were clearly worth publishing and another dozen almosts. || Almost all people went there. - Not all but very close to it."
alone,a,"один, одинокий; сам; adv- только, исключительно",438,7.31,I can't ask for help because I am alone. || Jones alone could do it. || She walked home alone. || The job was too hard for me to do alone. || The responsibility is theirs alone.
along,prep,"вдоль, по; adv- вперед",268,12.495,John played the piano and everyone sang along. || Don't stop here. Just move along.
alongside,adv,"рядом, бок о бок",2298,876.0,
already,adv,уже,354,8.934,Are you quitting already? || Be quiet already!
also,adv,"тоже, также",360,8.769,"They had porridge for breakfast, and also toast."
although,cj,хотя,1094,2.403,"Although it was very muddy, the football game went on. || It was difficult, although not as difficult as we had expected."
always,adv,всегда,275,12.301,"Airplanes did not always exist as a form of transportation. || In this street, the shops always close during lunchtime. || I thought I could always go back to work."
amaze,v,"изумлять, поражать; в осн. как amazing изумительный, поразительный и amazed пораженный",1377,1.79,
amber,n,янтарь,2032,1.06,
ambulance,n,машина скор. помощи; врачебный пункт,2300,874.0,
amount,n,количество; сумма,1967,1.112,"The amount of atmospheric pollution threatens a health crisis. || Pour a small amount of water into the dish. || It amounts to three dollars and change. || He was a pretty good student, but never amounted to much professionally."
amuse,v,"забавлять, развлекать; amusing также забавный, смешной, занимательный",2125,994.0,
ancient,a,древний; античный,1424,1.716,an ancient city  an ancient forest || an ancient author  an ancient empire
and,cj,"и; с; а, но",2,724.851,
angel,n,ангел,1787,1.25,
anger,n,гнев,1295,1.937,You need to control your anger. || He who angers you conquers you. || You anger too easily.
angle,n,угол,645,4.598,"the angle between lines A and B || The angle between lines A and B is π/4 radians, or 45 degrees. || an angle of a building || The horse took off at an angle. || His angle is that he gets a percentage, but mostly in trade. || The roof is angled at 15 degrees. || The five ball angled off the nine ball but failed to reach the pocket. || How do you want to angle this when we talk to the client? || He must be angling for a pay rise."
angrily,adv,"сердито, гневно",2155,974.0,
angry,a,"сердитый, гневный",988,2.679,An angry mob started looting the warehouse. || The broken glass left two angry cuts across my arm. || Angry clouds raced across the sky.
